"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.001uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"2","C2","1","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C3","1","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"4","C4, C5, C6, C7, C8","5","2.2uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"5","D1","1","RED","LED_THT:LED_D5.0mm",""
"6","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_2.7mm_M2.5",""
"7","J1","1","BarrelJack","Connector_BarrelJack:BarrelJack_Horizontal",""
"8","J2","1","SIO CHB","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"9","J3","1","UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"10","J5","1","Address Decoding","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"11","J6","1","Z80 Lines","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"12","R1, R2, R3, R8","4","4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"13","R4","1","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"14","R5","1","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"15","R6","1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"16","R7","1","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","RN1, RN2, RN3, RN4","4","10K","Resistor_THT:R_Array_SIP10",""
"18","SW1","1","Reset","Button_Switch_THT:SW_Tactile_Straight_KSA0Axx1LFTR",""
"19","SW2","1","Power","Button_Switch_THT:SW_Push_2P2T_Toggle_CK_PVA2xxH1xxxxxxV2",""
"20","U1","1","Z80CPU","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"21","U2","1","28HC64","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
"22","U3","1","60L256","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
"23","U4","1","Z80CTC","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
"24","U5","1","Z80SIO","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"25","U6","1","74LS04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"26","U7","1","CD74HCT4514E","Package_DIP:DIP-24_W15.24mm_Socket_LongPads",""
"27","U8","1","74LS139","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"28","U9","1","74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"29","U10","1","74LS74","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"30","U11","1","NE555P","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"31","X1","1","8MHz","Oscillator:Oscillator_DIP-14",""
"32","X2","1","2.4576MHz","Oscillator:Oscillator_DIP-14",""
